# GOAE-Leistungskatalog fuer den Abrechnungskalkulator
#
# Quelle: Gebührenordnung für Ärzte (GOÄ)
#   amtliche Fassung von "Gesetze im Internet"
#   https://www.gesetze-im-internet.de/go__1982/
#   Datei BJNR015220982.xml, abgerufen 2026-05-14
# Stand: Neugefasst durch Bek. v. 9.2.1996 I 210; zuletzt geändert durch Art. 3b G v. 19.7.2023 I Nr. 197
#
# Erzeugt mit werkzeuge/katalog_erzeugen.py - nicht von Hand aendern.
# Eigene Ziffern gehoeren in eine zusaetzliche Datei und werden mit
#   kalkulator.py katalog-import <datei.csv>
# eingespielt.
#
# Der Eurobetrag ergibt sich nach § 5 Abs. 1 GOAE aus
#   Punktzahl x 0,0582873 EUR x Steigerungsfaktor.
# Die Betragsspalte des amtlichen Verzeichnisses ist noch in DM gefuehrt und
# daher hier nicht enthalten.
#
# Spalten:
#   nummer        GOAE-Nummer
#   bezeichnung   Leistungslegende (Leerzeichen normiert, sonst unveraendert)
#   punktzahl     Punktzahl nach dem Gebuehrenverzeichnis
#   abschnitt     Abschnitt B bis P des Gebuehrenverzeichnisses
#   klasse        Steigerungsklasse nach § 5 GOAE:
#                   aerztlich  Abs. 2  - Regelsatz 2,3   Hoechstsatz 3,5
#                   technisch  Abs. 3  - Regelsatz 1,8   Hoechstsatz 2,5
#                              (Abschnitte A, E und O)
#                   labor      Abs. 4  - Regelsatz 1,15  Hoechstsatz 1,3
#                              (Abschnitt M und Nummer 437)
#   regelsatz     Schwellenwert; darueber ist eine Begruendung noetig (§ 12 GOAE)
#   hoechstsatz   Hoechstsatz der Steigerungsklasse
#   herkunft      direkt = Punktzahl steht im Verzeichnis bei dieser Nummer
#                 sammel = Nummer gehoert zu einer Sammelposition; die Punktzahl
#                          steht in deren Ueberschrift ("... je Messgroesse 70
#                          7,98 Katalog 3512 ... 3514 Glukose ...")
nummer;bezeichnung;punktzahl;abschnitt;klasse;regelsatz;hoechstsatz;herkunft
K 1;Zuschlag zu Untersuchungen nach Nummer 5, 6, 7 oder 8 bei Kindern bis zum vollendeten;120;B;aerztlich;2.3;3.5;direkt
K 2;Zuschlag zu den Leistungen nach Nummer 45, 46, 48, 50, 51, 55 oder 56 bei Kindern bis zum vollendeten 4. Lebensjahr;120;B;aerztlich;2.3;3.5;direkt
1;Beratung - auch mittels Fernsprecher -;80;B;aerztlich;2.3;3.5;direkt
2;Ausstellung von Wiederholungsrezepten und/oder Überweisungen und/oder Übermittlung von Befunden oder ärztlichen Anordnungen - auch mittels Fernsprecher - durch die Arzthelferin und/oder Messung von Körperzuständen (z.B. Blutdruck, Temperatur) ohne Beratung, bei einer Inanspruchnahme des Arztes;30;B;technisch;1.8;2.5;direkt
3;Eingehende, das gewöhnliche Maß übersteigende Beratung - auch mittels Fernsprecher -;150;B;aerztlich;2.3;3.5;direkt
4;Erhebung der Fremdanamnese über einen Kranken und/oder Unterweisung und Führung der Bezugsperson(en) - im Zusammenhang mit der Behandlung eines Kranken -;220;B;aerztlich;2.3;3.5;direkt
5;Symptombezogene Untersuchung;80;B;aerztlich;2.3;3.5;direkt
6;Vollständige körperliche Untersuchung mindestens eines der folgenden Organsysteme: alle Augenabschnitte, der gesamte HNO-Bereich, das stomatognathe System, die Nieren und ableitenden Harnwege (bei Männern auch gegebenenfalls einschließlich der männlichen Geschlechtsorgane) oder Untersuchung zur Erhebung eines vollständigen Gefäßstatus - gegebenenfalls einschließlich Dokumentation -;100;B;aerztlich;2.3;3.5;direkt
7;Vollständige körperliche Untersuchung mindestens eines der folgenden Organsysteme: das gesamte Hautorgan, die Stütz- und Bewegungsorgane, alle Brustorgane, alle Bauchorgane, der gesamte weibliche Genitaltrakt (gegebenenfalls einschließlich Nieren und ableitende Harnwege) - gegebenenfalls einschließlich Dokumentation -;160;B;aerztlich;2.3;3.5;direkt
8;Untersuchung zur Erhebung des Ganzkörperstatus, gegebenenfalls einschließlich Dokumentation;260;B;aerztlich;2.3;3.5;direkt
11;Digitaluntersuchung des Mastdarms und/oder der Prostata;60;B;aerztlich;2.3;3.5;direkt
